2023-12-13 09:08:43,164 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19015] -- Next runtime: Wed Dec 13 10:08:43 IST 2023
2023-12-13 09:08:43,185 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-13 09:08:43,925 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1532] milliseconds
2023-12-13 09:08:43,928 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19016] -- Next runtime: Wed Dec 13 10:08:43 IST 2023
2023-12-13 09:08:43,928 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-13 09:08:44,003 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [818] milliseconds
2023-12-13 09:08:44,003 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-13 09:08:44,003 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [839] milliseconds
2023-12-13 09:08:44,066 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [137] milliseconds
2023-12-13 09:08:44,066 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-13 09:08:44,066 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [138] milliseconds
2023-12-13 09:08:44,592 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1428] milliseconds
2023-12-13 09:08:44,595 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [19017] -- Next runtime: Wed Dec 13 10:08:44 IST 2023
2023-12-13 09:08:44,595 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-13 09:08:44,596 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-13 09:08:44,596 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-13 09:08:44,596 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1] milliseconds
2023-12-13 09:08:44,601 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [6] milliseconds
2023-12-13 09:08:45,101 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1173] milliseconds
2023-12-13 09:23:42,771 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19018] -- Next runtime: Wed Dec 13 09:38:42 IST 2023
2023-12-13 09:23:42,773 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19019] -- Next runtime: Wed Dec 13 09:38:42 IST 2023
2023-12-13 09:23:43,507 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [736] milliseconds
2023-12-13 09:23:44,229 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1456] milliseconds
2023-12-13 09:38:43,194 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19023] -- Next runtime: Wed Dec 13 09:53:43 IST 2023
2023-12-13 09:38:43,195 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19024] -- Next runtime: Wed Dec 13 09:53:43 IST 2023
2023-12-13 09:38:43,933 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [739] milliseconds
2023-12-13 09:38:44,653 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1457] milliseconds
2023-12-13 09:54:03,624 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19025] -- Next runtime: Wed Dec 13 10:09:03 IST 2023
2023-12-13 09:54:03,627 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19026] -- Next runtime: Wed Dec 13 10:09:03 IST 2023
2023-12-13 09:54:04,835 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1211] milliseconds
2023-12-13 09:54:05,864 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2237] milliseconds
2023-12-13 10:05:01,498 |sse-nio-8443-exec-19 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 10:05:01,527 |sse-nio-8443-exec-16 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 10:05:01,545 |sse-nio-8443-exec-16 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 10:05:01,549 |sse-nio-8443-exec-16 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 10:05:01,697 |sse-nio-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 10:05:01,701 |sse-nio-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.027s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 10:05:01,701 |sse-nio-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.055s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 10:05:01,704 |sse-nio-8443-exec-16 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 10:05:01,714 |sse-nio-8443-exec-16 |LoginWorker                   |I| Setting default delegator
2023-12-13 10:05:01,770 |sse-nio-8443-exec-16 |ServiceDispatcher             |T| Sync service [onlineexam/userLogin] finished in [54] milliseconds
2023-12-13 10:05:01,770 |sse-nio-8443-exec-16 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 10:05:01,779 |sse-nio-8443-exec-16 |ServiceDispatcher             |T| Sync service [onlineexam/preferenceGetSetPermission] finished in [2] milliseconds
2023-12-13 10:05:01,793 |sse-nio-8443-exec-16 |ServiceDispatcher             |T| Sync service [onlineexam/setUserPreference] finished in [18] milliseconds
2023-12-13 10:05:01,800 |sse-nio-8443-exec-16 |ServiceDispatcher             |T| Sync service [onlineexam/getUserPreference] finished in [3] milliseconds
2023-12-13 10:05:01,803 |sse-nio-8443-exec-16 |ServiceDispatcher             |T| Sync service [onlineexam/getUserPreference] finished in [2] milliseconds
2023-12-13 10:05:01,861 |sse-nio-8443-exec-16 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [success]
2023-12-13 10:05:01,863 |sse-nio-8443-exec-16 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-13 10:05:01,875 |sse-nio-8443-exec-16 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=10950, maxSeqId=10960, bankSize=10
2023-12-13 10:05:01,900 |sse-nio-8443-exec-16 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 10:05:01,902 |sse-nio-8443-exec-16 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
