2023-12-28 00:00:11,192 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [4] milliseconds
2023-12-28 00:00:11,200 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [29314] -- Next runtime: Fri Dec 29 00:00:00 IST 2023
2023-12-28 00:00:11,202 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [29316] -- Next runtime: Fri Dec 29 00:00:00 IST 2023
2023-12-28 00:00:11,209 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [5] milliseconds
2023-12-28 00:00:11,217 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [31320] -- Next runtime: Thu Dec 28 00:15:11 IST 2023
2023-12-28 00:00:11,223 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-28 00:00:11,223 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [23] milliseconds
2023-12-28 00:00:11,235 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [31321] -- Next runtime: Thu Dec 28 00:15:11 IST 2023
2023-12-28 00:00:12,458 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1241] milliseconds
2023-12-28 00:00:13,840 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2605] milliseconds
2023-12-28 00:00:15,135 |Catalina-utility-1   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2023-12-28 00:03:07,631 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:\Users\Dell\ofbiz-framework\ofbiz-framework\framework]
2023-12-28 00:03:08,055 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:\Users\Dell\ofbiz-framework\ofbiz-framework\themes]
2023-12-28 00:03:08,131 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications]
2023-12-28 00:03:08,314 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins]
2023-12-28 00:03:08,648 |main                 |ComponentContainer            |I| All components loaded
2023-12-28 00:03:08,648 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-28 00:03:08,649 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-28 00:03:08,667 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-28 00:03:08,667 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-28 00:03:08,677 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-28 00:03:08,678 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-28 00:03:08,697 |main                 |ContainerLoader               |I| Loaded container: service-container
