2023-12-27 13:23:28,403 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-27 13:23:28,403 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: amount
2023-12-27 13:23:28,410 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-27 13:23:28,410 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2023-12-27 13:23:28,415 |delegator-startup-1  |ModelViewEntity               |W| [ExampleStatusDetail]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: statusDelay
2023-12-27 13:23:28,439 |delegator-startup-1  |ModelViewEntity               |W| [ProjectPhaseTaskActualRatedHoursView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totalRatedHours
2023-12-27 13:23:28,541 |delegator-startup-1  |ModelReader                   |I| Finished loading entities; #Entities=892 #ViewEntities=319 #Fields=9378 #Relationships=3022 #AutoRelationships=2221
2023-12-27 13:23:28,686 |delegator-startup-1  |GenericDelegator              |I| Doing entity definition check...
2023-12-27 13:23:28,704 |delegator-startup-1  |ModelEntityChecker            |I| [initReservedWords] array length = 1025
2023-12-27 13:23:29,106 |delegator-startup-1  |GenericDelegator              |W| =-=-=-=-= Found 2 warnings when checking the entity definitions:
2023-12-27 13:23:29,107 |delegator-startup-1  |GenericDelegator              |W| [FieldNameGT30] Column name [CORRECT_QUESTIONS_IN_THIS_TOPIC] of entity UserAttemptTopicMaster is longer than 30 characters.
