2023-11-23 11:54:39,518 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-11-23 11:54:39,519 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-11-23 11:54:39,519 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-11-23 11:54:39,519 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-11-23 11:54:39,519 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-11-23 11:54:39,519 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-23 11:54:39,519 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2023-11-23 11:54:39,519 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-23 11:54:39,519 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-11-23 11:54:39,519 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-23 11:54:39,520 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-11-23 11:54:39,520 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-23 11:54:39,520 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-11-23 11:54:39,520 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
