2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_WRONG] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_CORRECT] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [CORRECT_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,681 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,681 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,681 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [MAX_SPLIT_ATTEMPTS] of table [public.USER_EXAM_MAPPING_MASTER] of entity [UserExamMappingMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,683 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.DEPT] exists in the database but has no corresponding entity
2023-12-19 14:36:56,683 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.EMP] exists in the database but has no corresponding entity
2023-12-19 14:36:56,683 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.EXAM_TOPIC_MAPPING] exists in the database but has no corresponding entity
2023-12-19 14:36:56,683 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.STAFFS] exists in the database but has no corresponding entity
2023-12-19 14:36:56,683 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.STUDENT] exists in the database but has no corresponding entity
2023-12-19 14:36:56,684 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.TEACHER] exists in the database but has no corresponding entity
2023-12-19 14:36:56,684 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [public.USER_EXAM_MAPPING] exists in the database but has no corresponding entity
2023-12-19 14:36:56,702 |main                 |ContainerLoader               |I| Started container delegator-container
