2023-11-24 12:51:30,083 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/msggateway/data/MsgGatewaySecurityGroupDemoData.xml
2023-11-24 12:51:30,086 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,091 |main                 |EntitySaxReader               |I| Finished 15 values from file:/D:/ofbiz/ofbiz-framework/plugins/msggateway/data/MsgGatewaySecurityGroupDemoData.xml
2023-11-24 12:51:30,091 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/msggateway/data/MsgGatewayDemoData.xml
2023-11-24 12:51:30,094 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,103 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1000
2023-11-24 12:51:30,116 |main                 |EntitySaxReader               |I| Finished 7 values from file:/D:/ofbiz/ofbiz-framework/plugins/msggateway/data/MsgGatewayDemoData.xml
2023-11-24 12:51:30,116 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalSecurityGroupDemoData.xml
2023-11-24 12:51:30,118 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,130 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1001
2023-11-24 12:51:30,133 |main                 |EntitySaxReader               |I| Finished 55 values from file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalSecurityGroupDemoData.xml
2023-11-24 12:51:30,133 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalPageDemoData.xml
2023-11-24 12:51:30,134 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,156 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-1005
2023-11-24 12:51:30,180 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2002
2023-11-24 12:51:30,196 |main                 |EntitySaxReader               |I| Finished 130 values from file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalPageDemoData.xml
2023-11-24 12:51:30,197 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalDemoData.xml
2023-11-24 12:51:30,200 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,204 |main                 |EntitySaxReader               |I| Finished 18 values from file:/D:/ofbiz/ofbiz-framework/plugins/myportal/data/MyPortalDemoData.xml
2023-11-24 12:51:30,204 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ofbizDemo/data/OfbizDemoSecurityGroupDemoData.xml
2023-11-24 12:51:30,206 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,208 |main                 |EntitySaxReader               |I| Finished 7 values from file:/D:/ofbiz/ofbiz-framework/plugins/ofbizDemo/data/OfbizDemoSecurityGroupDemoData.xml
2023-11-24 12:51:30,208 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ofbizDemo/data/OfbizDemoDemoData.xml
2023-11-24 12:51:30,211 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 12:51:30,211 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,217 |main                 |EntitySaxReader               |I| Finished 4 values from file:/D:/ofbiz/ofbiz-framework/plugins/ofbizDemo/data/OfbizDemoDemoData.xml
2023-11-24 12:51:30,217 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/data/OnlineexamSecurityGroupDemoData.xml
2023-11-24 12:51:30,219 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,221 |main                 |EntitySaxReader               |I| Finished 7 values from file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/data/OnlineexamSecurityGroupDemoData.xml
2023-11-24 12:51:30,222 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/data/OnlineexamDemoData.xml
